"id","code"
7569,"PE"
7570,"PE"
7571,"PE"
7572,"PE"
7573,"PE"
7574,"PE"
7575,"PE"
7576,"PE"
7577,"PE"
7578,"PE"
7579,"PE"
7580,"PE"
7581,"PE"
7582,"PE"
7583,"PE"
7584,"PE"
7585,"PE"
7586,"PE"
7587,"PE"
7588,"PE"
7589,"PE"
7590,"PE"
7591,"PE"
7592,"PE"
7593,"PE"
7594,"PE"
7595,"PE"
7596,"PE"
7597,"PE"
7598,"PE"
7599,"PE"
7600,"PE"
7601,"PE"
7602,"PE"
7603,"PE"
7604,"PE"
7605,"PE"
7606,"PE"
7607,"PE"
7608,"PE"
7609,"PE"
7610,"PE"
7611,"PE"
7612,"PE"
7613,"PE"
7614,"PE"
7615,"PE"
7616,"PE"
7617,"PE"
7618,"PE"
7619,"PE"
7620,"PE"
7621,"PE"
7622,"PE"
7623,"PE"
7624,"PE"
7625,"PE"
7626,"PE"
7627,"PE"
7628,"PE"
7629,"PE"
7630,"PE"
7700,"AU"
7701,"AU"
7702,"AU"
7703,"AU"
7704,"AU"
7705,"AU"
7706,"AU"
7707,"AU"
7708,"AU"
7709,"AU"
7710,"AU"
7711,"AU"
7712,"AU"
7713,"AU"
7714,"AU"
7715,"AU"
7716,"AU"
7717,"AU"
7718,"AU"
7719,"AU"
7720,"AU"
7721,"AU"
7722,"AU"
7723,"AU"
7724,"AU"
7725,"AU"
7726,"AU"
7727,"AU"
7728,"AU"
7729,"AU"
7730,"AU"
7731,"AU"
7733,"AU"
7734,"AU"
7735,"AU"
7736,"AU"
7737,"AU"
7738,"AU"
7739,"AU"
7740,"AU"
7741,"AU"
7742,"AU"
7743,"AU"
7744,"AU"
7745,"AU"
7746,"AU"
7747,"AU"
7748,"AU"
7749,"AU"
7750,"AU"
7751,"AU"
7752,"AU"
7753,"AU"
7754,"AU"
7755,"AU"
7756,"AU"
7757,"AU"
7758,"AU"
7759,"AU"
7760,"AU"
7761,"AU"
7762,"AU"
7763,"AU"
7764,"AU"
7765,"AU"
7766,"AU"
7767,"AU"
7768,"AU"
7769,"AU"
7770,"AU"
7772,"AU"
7773,"AU"
7774,"AU"
7775,"AU"
7776,"AU"
7777,"AU"
7778,"AU"
7779,"AU"
7780,"AU"
7781,"AU"
7782,"AU"
7783,"AU"
7784,"AU"
7785,"AU"
7786,"AU"
7787,"AU"
7788,"AU"
7789,"AU"
7790,"AU"
7791,"AU"
7792,"AU"
7793,"AU"
7794,"AU"
7795,"AU"
7796,"AU"
7797,"AU"
7798,"AU"
7799,"AU"
7800,"AU"
7801,"AU"
7802,"AU"
7803,"AU"
7804,"AU"
7805,"AU"
7806,"AU"
7807,"AU"
7808,"AU"
7809,"AU"
7810,"AU"
7811,"AU"
7812,"AU"
7813,"AU"
7814,"AU"
7815,"AU"
7816,"AU"
7817,"AU"
7818,"AU"
