"id","code"
101,"NA"
102,"NA"
103,"NA"
4101,"CT"
4102,"CH"
4103,"CV"
4104,"NA"
4105,"CD"
4106,"NA"
4107,"NA"
4108,"CB"
4109,"NA"
4110,"DR"
4111,"NA"
4112,"NA"
10001,"SP"
